url,titulo,texto,status,local,data_hora,problem_type,product_type,category
https://www.reclameaqui.com.br/m4u/fiz-a-recarga-e-ela-nao-caiu_4RmsIcSJTogFFexQ/,Fiz a recarga e ela não caiu,Fiz uma recarga de 20 reais no pix dia 12/10 e ela não caiu. E foi descontado ,Não respondida,Santópolis do Aguapeí - SP,12/10/2024 às 15:56,Provedores e serv. de internet,Internet para celular,Problema com recarga
https://www.reclameaqui.com.br/m4u/fiz-uma-recarga-vivo-de-25-reais-apareceu-o-nome-de-uma-empresa-m4-produtos-e-servicos-meus-credito-nao-caiu_SC00oYS3CLb0bO5x/,"Fiz uma recarga Vivo de 25 reais, apareceu o nome de uma empresa M4 PRODUTOS E SERVIÇOS. Meus crédito não caiu.","Fui fazer uma recarga vivo de 25 reais, gerou o codigo pix e ao colar no app do banco apareceu M4 produtos e serviços, confiei pois era direto do app da vivo. Mas meus créditos não cairam. Eu quero meus créditos ou o estorno do meu dinheiro, ou então vou ao procon.",Não respondida,Campo Grande - MS,12/10/2024 às 15:32,Provedores e serv. de internet,Internet para celular,Problema com recarga
https://www.reclameaqui.com.br/m4u/recarga-de-r-5000-nao-efetivada_TNUP1R1KaktJkOWg/,"Recarga de R$ 50,00 não efetivada","No dia 12/10/2024 através do aplicativo da empresa VIVO realizei pagamento de R$50,00 em recarga, feito através de chave Pix gerada no próprio aplicativo, ao verificar o destinatário do Pix constava M4 PRODUTOS E SERVIÇOS SA sendo que o destino da recarga seria o número******* mas o crédito não foi efetivado.",Não respondida,Canoas - RS,12/10/2024 às 11:58,Provedores e serv. de internet,Internet para celular,Problema com recarga
https://www.reclameaqui.com.br/m4u/recarga_oiYz7XS0npJeNqF-/,Recarga,Fiz uma recarga para o celular da minha filha hoje no Pix e a recarga não entrou o débito saiu da conta.,Em réplica,Bento Gonçalves - RS,10/10/2024 às 19:11,Provedores e serv. de internet,Internet para celular,Problema com recarga
https://www.reclameaqui.com.br/m4u/fiz-recarga-e-meu-credito-nao-caiu_FSdCFImaH5FKU4j7/,Fiz recarga e meu crédito não caiu,Fiz uma recarga vivo e apareceu essa empresa m4 produtos e serviços e meu crédito não caiu,Respondida,Niterói - RJ,10/10/2024 às 09:54,Provedores e serv. de internet,Internet para celular,Problema com recarga
https://www.reclameaqui.com.br/m4u/cobranca-indevida_ntvfN_1sOQDPcVJ5/,Cobrança indevida,existe um boleto de plano controle vinculado ao meu cpf com empresa de cnpj 09.614.276/000134 sem eu nunca ter feito plano controle peço que esse boleto com sencimento de 1 de setembro seja retirado imendiatamente do meu nome senão as ações cabiveis jusdiciais serão tomadas contra a empresa!,Respondida,Campina Grande - PB,09/10/2024 às 15:10,Provedores e serv. de internet,Internet para celular,Cobrança indevida
https://www.reclameaqui.com.br/m4u/m4-produtos-e-servicos_hwStA5GzVBvTbGsd/,M4 Produtos e Serviços,"Em 09/10/24 fiz recarga de R$ 15,00 no site da claro por meio de pix em nome da M4 Produtos e Serviços. Recarga não foi creditada. Aguardo reembolso. Como a claro permite este tipo de desvio? Acreditei que fosse a claro justamente porque enviaram um código para o celular para confirmar o número. AGUARDO REEMBOLSO URGENTE.",Respondida,Planaltina - GO,09/10/2024 às 08:20,Provedores e serv. de internet,Internet para celular,Problema com recarga
https://www.reclameaqui.com.br/m4u/estou-recebendo-uma-cobranca-dessa-mesma-da-qual-eu-desconheco_fyFYJ5Uut6USa6VU/,Estou recebendo uma cobrança dessa mesma da qual eu desconheço,Desde de agosto estou recebendo uma cobrança de um plano controle da qual eu não utilizo plano controle    quero saber pq essa cobrança?,Respondida,Fortaleza - CE,08/10/2024 às 21:23,Provedores e serv. de internet,Internet para celular,Cobrança indevida
https://www.reclameaqui.com.br/m4u/nao-comprei-nada-de-voces-e-todos-mes-estao-jogando-30-no-meu-cpf_pD-MMbVF2fmdLZOs/,Não comprei nada de vocês e todos mês estão jogando 30 no meu cpf,Não comprei nada de vocês e estão todos mês me cobrando trinta reias,Respondida,São Paulo - SP,08/10/2024 às 02:21,Provedores e serv. de internet,Internet para celular,Cobrança indevida
https://www.reclameaqui.com.br/m4u/recarga-vivo-via-pix_lR0p0WoIitp4E8QB/,Recarga vivo via pix,Fiz uma recarga via Pix não caiu débito da conta e nada,Respondida,Serra - ES,07/10/2024 às 23:44,Provedores e serv. de internet,Internet para celular,Problema com recarga
